timestamp,player,prop_type,line_value,book,over_odds,under_odds
2026-04-01T06:20:40Z,Jalen Johnson,Assists,7.5,draftkings,-109,-121
2026-04-01T06:20:40Z,Jalen Suggs,Assists,5.5,draftkings,-122,-108
2026-04-01T06:20:40Z,Dyson Daniels,Assists,5.5,draftkings,119,-158
2026-04-01T06:20:40Z,Paolo Banchero,Assists,4.5,draftkings,-151,115
2026-04-01T06:20:40Z,Desmond Bane,Assists,4.5,draftkings,122,-161
2026-04-01T06:20:40Z,C.J. McCollum,Assists,3.5,draftkings,-117,-112
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Assists,3.5,draftkings,105,-138
2026-04-01T06:20:40Z,Onyeka Okongwu,Assists,2.5,draftkings,-133,101
2026-04-01T06:20:40Z,Paolo Banchero,Points,23.5,draftkings,-120,-106
2026-04-01T06:20:40Z,Jalen Johnson,Points,23.5,draftkings,-104,-122
2026-04-01T06:20:40Z,Desmond Bane,Points,20.5,draftkings,-111,-114
2026-04-01T06:20:40Z,C.J. McCollum,Points,18.5,draftkings,-120,-106
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points,18.5,draftkings,-119,-107
2026-04-01T06:20:40Z,Jalen Suggs,Points,14.5,draftkings,-120,-106
2026-04-01T06:20:40Z,Onyeka Okongwu,Points,13.5,draftkings,-126,-101
2026-04-01T06:20:40Z,Dyson Daniels,Points,11.5,draftkings,-111,-115
2026-04-01T06:20:40Z,Tristan da Silva,Points,10.5,draftkings,-123,-104
2026-04-01T06:20:40Z,Wendell Carter Jr,Points,9.5,draftkings,-130,102
2026-04-01T06:20:40Z,Jonathan Kuminga,Points,9.5,draftkings,-126,-101
2026-04-01T06:20:40Z,Jock Landale,Points,8.5,draftkings,-113,-113
2026-04-01T06:20:40Z,Jalen Johnson,Points Assists,30.5,draftkings,-122,-108
2026-04-01T06:20:40Z,Paolo Banchero,Points Assists,29.5,draftkings,-106,-124
2026-04-01T06:20:40Z,Desmond Bane,Points Assists,24.5,draftkings,-119,-110
2026-04-01T06:20:40Z,C.J. McCollum,Points Assists,22.5,draftkings,-111,-118
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points Assists,22.5,draftkings,-110,-120
2026-04-01T06:20:40Z,Jalen Suggs,Points Assists,20.5,draftkings,-118,-111
2026-04-01T06:20:40Z,Onyeka Okongwu,Points Assists,16.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Dyson Daniels,Points Assists,16.5,draftkings,-120,-109
2026-04-01T06:20:40Z,Jalen Johnson,Points Rebounds,32.5,draftkings,-118,-111
2026-04-01T06:20:40Z,Paolo Banchero,Points Rebounds,31.5,draftkings,-125,-106
2026-04-01T06:20:40Z,Desmond Bane,Points Rebounds,24.5,draftkings,-118,-112
2026-04-01T06:20:40Z,C.J. McCollum,Points Rebounds,21.5,draftkings,-127,-103
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points Rebounds,21.5,draftkings,-125,-105
2026-04-01T06:20:40Z,Onyeka Okongwu,Points Rebounds,21.5,draftkings,-106,-124
2026-04-01T06:20:40Z,Jalen Suggs,Points Rebounds,18.5,draftkings,-127,-104
2026-04-01T06:20:40Z,Wendell Carter Jr,Points Rebounds,17.5,draftkings,-124,-106
2026-04-01T06:20:40Z,Dyson Daniels,Points Rebounds,17.5,draftkings,-123,-107
2026-04-01T06:20:40Z,Tristan da Silva,Points Rebounds,14.5,draftkings,-125,-105
2026-04-01T06:20:40Z,Jonathan Kuminga,Points Rebounds,14.5,draftkings,-119,-111
2026-04-01T06:20:40Z,Jock Landale,Points Rebounds,13.5,draftkings,-110,-120
2026-04-01T06:20:40Z,Jalen Johnson,Points Rebounds Assists,40.5,draftkings,-117,-112
2026-04-01T06:20:40Z,Paolo Banchero,Points Rebounds Assists,37.5,draftkings,-112,-117
2026-04-01T06:20:40Z,Desmond Bane,Points Rebounds Assists,29.5,draftkings,-105,-126
2026-04-01T06:20:40Z,C.J. McCollum,Points Rebounds Assists,25.5,draftkings,-122,-108
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Points Rebounds Assists,25.5,draftkings,-115,-115
2026-04-01T06:20:40Z,Jalen Suggs,Points Rebounds Assists,24.5,draftkings,-121,-109
2026-04-01T06:20:40Z,Onyeka Okongwu,Points Rebounds Assists,24.5,draftkings,-105,-126
2026-04-01T06:20:40Z,Dyson Daniels,Points Rebounds Assists,22.5,draftkings,-129,-102
2026-04-01T06:20:40Z,Jalen Johnson,Rebounds,9.5,draftkings,-113,-117
2026-04-01T06:20:40Z,Paolo Banchero,Rebounds,7.5,draftkings,-140,106
2026-04-01T06:20:40Z,Wendell Carter Jr,Rebounds,7.5,draftkings,-126,-104
2026-04-01T06:20:40Z,Onyeka Okongwu,Rebounds,7.5,draftkings,116,-153
2026-04-01T06:20:40Z,Dyson Daniels,Rebounds,6.5,draftkings,114,-151
2026-04-01T06:20:40Z,Jock Landale,Rebounds,4.5,draftkings,-121,-109
2026-04-01T06:20:40Z,Jonathan Kuminga,Rebounds,4.5,draftkings,-112,-117
2026-04-01T06:20:40Z,Desmond Bane,Rebounds,4.5,draftkings,126,-167
2026-04-01T06:20:40Z,Jalen Suggs,Rebounds,3.5,draftkings,-157,119
2026-04-01T06:20:40Z,Tristan da Silva,Rebounds,3.5,draftkings,-152,115
2026-04-01T06:20:40Z,C.J. McCollum,Rebounds,3.5,draftkings,127,-167
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Rebounds,2.5,draftkings,-175,132
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Threes,2.5,draftkings,-170,129
2026-04-01T06:20:40Z,C.J. McCollum,Threes,2.5,draftkings,-102,-130
2026-04-01T06:20:40Z,Jalen Johnson,Threes,1.5,draftkings,-188,142
2026-04-01T06:20:40Z,Desmond Bane,Threes,1.5,draftkings,-178,134
2026-04-01T06:20:40Z,Jalen Suggs,Threes,1.5,draftkings,-158,120
2026-04-01T06:20:40Z,Tristan da Silva,Threes,1.5,draftkings,-115,-115
2026-04-01T06:20:40Z,Onyeka Okongwu,Assists,2.5,fanduel,-140,106
2026-04-01T06:20:40Z,Dyson Daniels,Assists,4.5,fanduel,-162,122
2026-04-01T06:20:40Z,Desmond Bane,Assists,4.5,fanduel,128,-172
2026-04-01T06:20:40Z,C.J. McCollum,Assists,3.5,fanduel,-132,100
2026-04-01T06:20:40Z,Jalen Suggs,Assists,5.5,fanduel,-120,-110
2026-04-01T06:20:40Z,Jalen Johnson,Assists,7.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Paolo Banchero,Assists,5.5,fanduel,126,-168
